id;user;uid;version;changeset;timestamp
14712984;O fim;1842197;10;41561939;2016-08-19T17:59:31Z
14713922;Ycavazin;1661028;16;46030105;2017-02-12T20:53:03Z
14714126;Carlosassuncao92;6251065;32;50983590;2017-08-09T20:37:39Z
15059198;Ajbelnuovo;1799626;25;46560918;2017-03-03T22:42:10Z
15060037;Daniel2017021112;7305255;10;54799951;2017-12-20T22:59:12Z
15060105;Ajbelnuovo;1799626;7;45836966;2017-02-05T18:50:46Z
15061083;Woodpeck_repair;145231;7;52742084;2017-10-08T21:14:31Z
15061313;O fim;1842197;10;41645244;2016-08-23T18:49:03Z
15061454;Ajbelnuovo;1799626;8;45836966;2017-02-05T18:50:45Z
15061492;Dbusse;149876;8;14262335;2012-12-13T17:23:58Z
15061501;Dbusse;149876;7;14262335;2012-12-13T17:23:59Z
15061566;Leandro conca;265413;10;15856579;2013-04-25T05:24:33Z
15061575;Dbusse;149876;5;14262335;2012-12-13T17:23:57Z
15061763;Ajbelnuovo;1799626;16;53054448;2017-10-18T22:54:53Z
15062104;Skippern;31385;5;24901323;2014-08-21T06:31:03Z
15062147;Ajbelnuovo;1799626;7;44649475;2016-12-24T18:04:14Z
15062178;Ajbelnuovo;1799626;10;46581628;2017-03-04T20:29:13Z
15062533;Wololo;716675;6;36365938;2016-01-04T18:25:20Z
15062858;O fim;1842197;6;22087155;2014-05-02T15:06:37Z
15062982;Rodolfogb20;2402504;7;39450482;2016-05-20T13:18:24Z
15065168;Ajbelnuovo;1799626;7;53054448;2017-10-18T22:54:52Z
15065199;Ajbelnuovo;1799626;7;46561519;2017-03-03T23:29:21Z
15065227;Ajbelnuovo;1799626;11;53054448;2017-10-18T22:54:52Z
15065291;Ajbelnuovo;1799626;16;46965001;2017-03-18T19:54:16Z
15065375;Bonix-mapper;2030995;6;40604532;2016-07-09T02:49:37Z
15065421;Cxs;251808;5;18304484;2013-10-11T20:30:19Z
15065512;Ftrebien;401472;7;21455521;2014-04-02T12:21:22Z
15065613;Cxs;251808;6;18304484;2013-10-11T20:30:19Z
15065662;Bonix-mapper;2030995;15;40604760;2016-07-09T03:32:55Z
15065700;Bonix-mapper;2030995;6;40604722;2016-07-09T03:23:26Z
15065906;Joseedteixeira;5282967;10;55275133;2018-01-08T20:38:28Z
15065984;Joseedteixeira;5282967;18;55275133;2018-01-08T20:38:28Z
15066080;Ajbelnuovo;1799626;13;46562122;2017-03-04T00:36:01Z
15066323;Erickdeoliveiraleal;463504;5;44384736;2016-12-13T21:57:05Z
15068425;Dbusse;149876;8;14262335;2012-12-13T17:23:59Z
15068531;Dbusse;149876;7;14262335;2012-12-13T17:23:57Z
15068578;O fim;1842197;4;41645244;2016-08-23T18:49:05Z
15720902;Bonix-mapper;2030995;11;45902268;2017-02-08T01:09:45Z
15722866;Ygorre;578108;34;51690987;2017-09-03T11:59:50Z
15723127;Bonix-mapper;2030995;20;45818283;2017-02-05T00:08:03Z
15723822;Rodolfogb20;2402504;10;39290501;2016-05-13T12:21:58Z
15723908;O fim;1842197;9;21961051;2014-04-26T18:38:18Z
15723957;Bonix-mapper;2030995;16;45818283;2017-02-05T00:08:03Z
15723995;Rodolfogb20;2402504;12;39290501;2016-05-13T12:21:57Z
15724009;Bonix-mapper;2030995;13;45610490;2017-01-29T04:08:38Z
15724037;Bonix-mapper;2030995;14;45382743;2017-01-23T02:14:09Z
15724149;Ajbelnuovo;1799626;8;52809472;2017-10-11T00:41:21Z
15966623;Bonix-mapper;2030995;8;45818283;2017-02-05T00:08:04Z
15966683;Bonix-mapper;2030995;14;45818283;2017-02-05T00:08:04Z
16258255;Bonix-mapper;2030995;36;45817436;2017-02-04T23:02:38Z
16946556;Ajbelnuovo;1799626;9;47076414;2017-03-22T19:10:05Z
17557126;Cyberknightmk;3167029;8;47992171;2017-04-21T06:21:50Z
17557190;Bonix-mapper;2030995;9;45671138;2017-01-31T02:25:16Z
17557234;Bonix-mapper;2030995;5;45671138;2017-01-31T02:25:17Z
17760678;Ajbelnuovo;1799626;5;42573243;2016-10-02T01:26:32Z
17760693;Patodiez;1856060;7;35958708;2015-12-15T04:11:07Z
17760699;Dbusse;149876;3;14262335;2012-12-13T17:23:58Z
17760707;Dbusse;149876;3;14262335;2012-12-13T17:23:58Z
17760727;O fim;1842197;4;21481538;2014-04-03T18:16:03Z
17760756;Cxs;251808;5;18304484;2013-10-11T20:30:17Z
17760770;Ajbelnuovo;1799626;6;46561519;2017-03-03T23:29:21Z
17760774;Ajbelnuovo;1799626;19;53054448;2017-10-18T22:54:52Z
17760781;O fim;1842197;6;21481482;2014-04-03T18:13:14Z
17761105;Ajbelnuovo;1799626;13;53054448;2017-10-18T22:54:44Z
17761223;Ajbelnuovo;1799626;12;53054448;2017-10-18T22:54:43Z
17761358;Ajbelnuovo;1799626;6;53054448;2017-10-18T22:54:53Z
17761389;Woodpeck_repair;145231;6;52742084;2017-10-08T21:19:14Z
17761409;Ajbelnuovo;1799626;8;53054448;2017-10-18T22:54:44Z
17761467;Ajbelnuovo;1799626;13;53054448;2017-10-18T22:54:44Z
17761525;Joseedteixeira;5282967;6;55275133;2018-01-08T20:38:28Z
17761744;Joseedteixeira;5282967;9;55275133;2018-01-08T20:38:26Z
17761824;Joseedteixeira;5282967;8;55275133;2018-01-08T20:38:26Z
17762542;Ajbelnuovo;1799626;4;45836966;2017-02-05T18:50:47Z
17762684;Dbusse;149876;8;27817225;2014-12-31T08:19:58Z
17762811;Maiafelipe;494571;4;15437609;2013-03-20T23:01:25Z
18618354;Bonix-mapper;2030995;14;45671138;2017-01-31T02:25:17Z
18618511;Bonix-mapper;2030995;7;51589817;2017-08-30T18:38:17Z
18618546;O fim;1842197;5;21959745;2014-04-26T17:41:35Z
23267897;Bonix-mapper;2030995;11;42426617;2016-09-25T16:29:46Z
23267919;Bonix-mapper;2030995;10;41619629;2016-08-22T17:23:05Z
23267951;Bonix-mapper;2030995;3;41624757;2016-08-22T21:17:15Z
23268019;Bonix-mapper;2030995;9;51591227;2017-08-30T19:21:49Z
23268044;Bonix-mapper;2030995;12;41624382;2016-08-22T20:57:50Z
23268061;Bonix-mapper;2030995;31;42426617;2016-09-25T16:29:46Z
23268078;Bonix-mapper;2030995;9;41929549;2016-09-05T12:22:41Z
23268084;Bonix-mapper;2030995;10;42426617;2016-09-25T16:29:46Z
24063300;Bonix-mapper;2030995;5;37676264;2016-03-07T22:41:06Z
24063305;Bonix-mapper;2030995;8;38544516;2016-04-14T03:37:26Z
24654408;Ajbelnuovo;1799626;42;54510011;2017-12-10T12:56:05Z
24654491;Bonix-mapper;2030995;30;42540176;2016-09-30T11:46:01Z
26639339;Bonix-mapper;2030995;7;45609398;2017-01-29T02:46:12Z
26639343;Wille;360183;13;50086335;2017-07-06T14:14:13Z
26659039;O fim;1842197;8;21959745;2014-04-26T17:41:38Z
26659060;Bonix-mapper;2030995;22;45609970;2017-01-29T03:25:43Z
26659065;Wille;360183;7;50086507;2017-07-06T14:22:31Z
26659118;Bonix-mapper;2030995;20;49984907;2017-07-02T13:37:30Z
26659141;O fim;1842197;6;21959745;2014-04-26T17:41:40Z
26659167;Vgeorge;62817;8;17248488;2013-08-07T00:14:18Z
26659187;Wille;360183;8;50086507;2017-07-06T14:22:31Z
26660178;Mcpicoli;713822;7;13349711;2012-10-03T16:08:56Z
26660191;Vgeorge;62817;7;8708407;2011-07-13T01:15:02Z
26660219;Vgeorge;62817;5;17248488;2013-08-07T00:14:17Z
26660221;Mcpicoli;713822;3;13349711;2012-10-03T16:08:55Z
26660231;O fim;1842197;6;52223600;2017-09-20T20:53:05Z
26660234;Bigous;2065047;5;22193590;2014-05-07T17:53:14Z
26660256;Rodolfogb20;2402504;6;39290501;2016-05-13T12:21:50Z
26660300;Bonix-mapper;2030995;9;45609970;2017-01-29T03:25:43Z
26660302;Bonix-mapper;2030995;11;45609970;2017-01-29T03:25:43Z
26660760;Bonix-mapper;2030995;10;45610490;2017-01-29T04:08:38Z
26661196;Rodolfogb20;2402504;6;39290501;2016-05-13T12:21:55Z
26661197;O fim;1842197;4;21959745;2014-04-26T17:41:40Z
26661198;O fim;1842197;4;21959745;2014-04-26T17:41:40Z
26661199;O fim;1842197;3;21959745;2014-04-26T17:41:40Z
26661201;O fim;1842197;5;21959745;2014-04-26T17:41:40Z
26661253;Bonix-mapper;2030995;22;45817436;2017-02-04T23:02:38Z
26661320;Bonix-mapper;2030995;6;45610288;2017-01-29T03:49:50Z
26661330;Bonix-mapper;2030995;9;45671138;2017-01-31T02:25:17Z
26661344;Wille;360183;13;50086335;2017-07-06T14:14:13Z
26752207;Ygorre;578108;3;12440516;2012-07-22T21:17:59Z
26779751;Vgeorge;62817;4;17248488;2013-08-07T00:14:21Z
26779774;Bonix-mapper;2030995;9;50393530;2017-07-19T02:29:10Z
26779780;Bonix-mapper;2030995;4;50393530;2017-07-19T02:29:10Z
26779784;Bonix-mapper;2030995;4;50393530;2017-07-19T02:29:10Z
26779790;Maiafelipe;494571;11;12615460;2012-08-04T23:44:44Z
26779801;Bonix-mapper;2030995;5;41596636;2016-08-21T16:18:56Z
26779859;Dbusse;149876;4;16315308;2013-05-27T20:09:39Z
26779875;Bonix-mapper;2030995;10;45609970;2017-01-29T03:25:43Z
26779885;Pedro belasco;353037;2;11036574;2012-03-20T00:30:44Z
26779976;Bonix-mapper;2030995;4;45671138;2017-01-31T02:25:17Z
26780529;Bonix-mapper;2030995;22;42539619;2016-09-30T11:13:40Z
26780532;Bonix-mapper;2030995;6;42424247;2016-09-25T14:24:54Z
26780552;Bonix-mapper;2030995;16;42426026;2016-09-25T15:57:53Z
26780570;Bonix-mapper;2030995;12;42426026;2016-09-25T15:57:53Z
26780661;Bonix-mapper;2030995;7;45812437;2017-02-04T18:42:22Z
26780674;Bonix-mapper;2030995;14;45610490;2017-01-29T04:08:38Z
26781049;Bonix-mapper;2030995;16;45610490;2017-01-29T04:08:39Z
26781068;Bonix-mapper;2030995;18;45610490;2017-01-29T04:08:39Z
26786370;O fim;1842197;11;41561939;2016-08-19T17:59:33Z
26786387;Bonix-mapper;2030995;5;45610490;2017-01-29T04:08:39Z
26786400;Bonix-mapper;2030995;7;45610490;2017-01-29T04:08:39Z
26786404;Bonix-mapper;2030995;8;45812437;2017-02-04T18:42:23Z
