id;key;value;type
4615019;Superfície;Asfalto;
4615020;Rodovia;Tronco;
4615020;Phelper.istas;3;
4615020;Velocidade Máxima;50;
4615020;Nome;Avenida das Nações Unidas;
4615020;Sentido único;Sim;
4615020;Calçada;right;
4615020;Superfície;Pavimentado;
4615024;Possui passagem de pedestres;Não;
4615024;Rodovia;Autoestrada;
4615024;Phelper.istas;6;
4615024;Velocidade Máxima;90;
4615024;Velocidade Máxima;60;
4615024;Nome;"SP050;Avenida Engenheiro Billings";
4615024;Sentido único;Sim;
4615024;ref;SP-015;
4615024;Calçada;Não;
4615024;Superfície;Asfalto;
4743609;Nome;Rio Pinheiros;
4743609;waterway;riverbank;
4940652;Ponte;Sim;
4940652;Rodovia;Autoestrada;
4940652;Camadas;1;
4940652;Nome;Ponte Guilherme de Almeida;
4940652;Sentido único;Sim;
4940652;ref;"SP-280;BR-374";
4940652;Superfície;Asfalto;
4940652;wikipedia;pt:Rodovia Castelo Branco;
4940653;Bicicleta;Não;
4940653;Possui passagem de pedestres;Não;
4940653;Rodovia;Autoestrada;
4940653;Cavalo;Não;
4940653;Phelper.istas;3;
4940653;Velocidade Máxima;100;
4940653;Nome;Rodovia Presidente Castelo Branco;
4940653;Sentido único;Sim;
4940653;ref;"SP-280;BR-374";
4940653;Nome;Rodovia Castelo Branco;
4940653;Superfície;Asfalto;
4940653;Pedágio;Sim;
4940653;wikipedia;pt:Rodovia Castelo Branco;
4941082;Rodovia;Autoestrada;
4941082;Velocidade Máxima;110;
4941082;Nome;Rodovia Presidente Castelo Branco;
4941082;Sentido único;Sim;
4941082;ref;"SP-280;BR-374";
4941082;Nome;Rodovia Castelo Branco;
4941082;Superfície;Asfalto;
4941082;wikipedia;pt:Rodovia Castelo Branco;
5019970;Destino;"Marginal Tietê;Presidente Dutra;Ayrton Senna";
5019970;Rodovia;Secondário;
5019970;Phelper.istas;2;
5019970;Velocidade Máxima;60;
5019970;Sentido único;Sim;
5019970;Superfície;Pavimentado;
5019973;Destino;Avenida Marginal Tietê Central;
5019973;Rodovia;Tronco;
5019973;Nome;Avenida Federico Fellini;
5019973;Sentido único;Sim;
5019973;Superfície;Pavimentado;
6057358;Nome;Rio Tietê;
6057358;waterway;riverbank;
8140734;Destino;"Marginal Tietê;Anhanguera;Bandeirantes;Dutra";
8140734;Rodovia;Tronco;
8140734;Phelper.istas;1;
8140734;Velocidade Máxima;50;
8140734;Nome;Marginal Tietê;
8140734;Sentido único;Sim;
8140734;Superfície;Pavimentado;
8366904;Bicicleta;Sim;
8366904;Ponte;Sim;
8366904;Rodovia;Tronco;
8366904;Phelper.istas;3;
8366904;Camadas;1;
8366904;Nome;Ponte do Jaguaré;
8366904;Velocidade Máxima;50;
8366904;Nome;Ponte do Jaguaré - Hirant Sanazar;
8366904;Sentido único;Sim;
8366904;wikipedia;pt:Ponte do Jaguaré;
8366905;Bicicleta;Sim;
8366905;Ponte;Sim;
8366905;Destino;"Ceagesp;Lapa";
8366905;Rodovia;Tronco;
8366905;Phelper.istas;3;
8366905;Camadas;1;
8366905;Nome;Ponte do Jaguaré;
8366905;Velocidade Máxima;50;
8366905;Nome;Ponte do Jaguaré - Hirant Sanazar;
8366905;Sentido único;Sim;
8366905;wikipedia;pt:Ponte do Jaguaré;
8373530;Rodovia;Tronco;
8373530;Phelper.istas;2;
8373530;Nome;Avenida Nações Unidas;
8373530;Sentido único;Sim;
8373530;Superfície;Pavimentado;
8376428;Rodovia;Autoestrada;
8376428;Sentido único;Sim;
8376428;Superfície;Pavimentado;
8376429;Rodovia;Autoestrada;
8376429;Nome;Saída Osasco;
8376429;Sentido único;Sim;
8376429;Superfície;Pavimentado;
8376443;Rodovia;Secondário;
8376443;Nome;Avenida Brasil;
8376443;Sentido único;Sim;
8376443;Superfície;Pavimentado;
8376458;Bicicleta;Sim;
8376458;Ponte;Sim;
8376458;Rodovia;Autoestrada;
8376458;Camadas;1;
8376458;Sentido único;Sim;
8376458;Superfície;Asfalto;
8376459;Rodovia;Secondário;
8376459;Velocidade Máxima;40;
8376459;Nome;Saída Osasco;
8376459;Sentido único;Sim;
8376459;Superfície;Asfalto;
8377499;Rodovia;Autoestrada;
8377499;Sentido único;Sim;
8377499;Superfície;Asfalto;
8377517;Rodovia;Autoestrada;
8377517;Sentido único;Sim;
8377517;source;Bing;
8377517;Superfície;Pavimentado;
8377533;Rodovia;Autoestrada;
8377533;Sentido único;Sim;
8377533;Superfície;Pavimentado;
8377541;Rodovia;Autoestrada;
8377541;Sentido único;Sim;
8377541;Superfície;Asfalto;
8377572;Rodovia;Tronco de ligação;
8377572;Nome;Acesso a Rodovia Anhanguera;
8377572;Sentido único;Sim;
11717864;Nome;Rio Tietê;
11717864;waterway;riverbank;
11718136;Nome;Lago Parque Ecológico do Tietê;
11718136;natural;water;
11718136;water;lake;
11829667;Nome;Lagoa do Carapicuíba;
11829667;natural;water;
11837148;natural;water;
13805793;Nome;Reservatório Edgar de Souza;
13805793;natural;water;
13805795;Nome;Rio Tietê;
13805795;waterway;riverbank;
14050466;Rodovia;Autoestrada;
14050466;Sentido único;Sim;
14050501;Rodovia;Secondário;
14050501;junction;roundabout;
14050501;Phelper.istas;2;
14050501;Velocidade Máxima;40;
14050501;Nome;Avenida Doutor Dib Sauia Neto;
14050501;Superfície;Asfalto;
14050599;Rodovia;Secondário;
14050599;Phelper.istas;2;
14050599;Sentido único;Sim;
14050599;Superfície;Asfalto;
14050630;Rodovia;Secondário;
14050630;Sentido único;Sim;
14050869;Rodovia;Secondário;
14050869;Nome;Avenida Doutor Dib Sauia Neto;
14050869;Sentido único;Sim;
14051146;Rodovia;Secondário;
14051146;Phelper.istas;2;
14051146;Nome;Avenida Doutor Dib Sauia Neto;
14051146;Sentido único;Sim;
14051146;Superfície;Asfalto;
14051220;Rodovia;Autoestrada;
14051220;Nome;Acesso Rodovia Castello Branco pedagiada;
14051220;Sentido único;Sim;
14051220;Superfície;Asfalto;
14051302;Rodovia;Autoestrada;
14051302;Nome;Acesso Rodovia Castello Branco pedagiada;
14051302;Sentido único;Sim;
14051302;Superfície;Asfalto;
14051343;Rodovia;primary_link;
14051343;Sentido único;Sim;
14051343;Superfície;Asfalto;
14051396;Rodovia;primary;
14051396;Sentido único;Sim;
14051437;Rodovia;Autoestrada;
14051437;Sentido único;Sim;
14051437;Superfície;Asfalto;
14051525;Rodovia;Secondário;
14051525;Phelper.istas;2;
14051525;Nome;Avenida Doutor Dib Sauia Neto;
14051525;Sentido único;Sim;
14051525;Superfície;Asfalto;
14051572;Rodovia;Secondário;
14051572;junction;roundabout;
